Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -1,     0.6553162, ,            -1,     0.6553162, ,            -1,     0.6553162, ,            -1,     0.6553162, ,            -1,     0.6553162, , 
         -0.8,     0.6553187, ,          -0.8,     0.6553187, ,          -0.8,     0.6553187, ,          -0.8,     0.6553187, ,          -0.8,     0.6553187, , 
         -0.6,      0.655314, ,          -0.6,      0.655314, ,          -0.6,      0.655314, ,          -0.6,      0.655314, ,          -0.6,      0.655314, , 
         -0.4,     0.6553027, ,          -0.4,     0.6553027, ,          -0.4,     0.6553027, ,          -0.4,     0.6553027, ,          -0.4,     0.6553027, , 
         -0.2,     0.6552851, ,          -0.2,     0.6552851, ,          -0.2,     0.6552851, ,          -0.2,     0.6552851, ,          -0.2,     0.6552851, , 
            0,     0.6552618, ,             0,     0.6552618, ,             0,     0.6552618, ,             0,     0.6552618, ,             0,     0.6552618, , 
          0.2,     0.6552331, ,           0.2,     0.6552331, ,           0.2,     0.6552331, ,           0.2,     0.6552331, ,           0.2,     0.6552331, , 
          0.4,     0.6551995, ,           0.4,     0.6551995, ,           0.4,     0.6551995, ,           0.4,     0.6551995, ,           0.4,     0.6551995, , 
          0.6,     0.6551612, ,           0.6,     0.6551612, ,           0.6,     0.6551612, ,           0.6,     0.6551612, ,           0.6,     0.6551612, , 
          0.8,     0.6551187, ,           0.8,     0.6551187, ,           0.8,     0.6551187, ,           0.8,     0.6551187, ,           0.8,     0.6551187, , 
            1,     0.6550723, ,             1,     0.6550723, ,             1,     0.6550723, ,             1,     0.6550723, ,             1,     0.6550723, , 
          1.2,     0.6550221, ,           1.2,     0.6550221, ,           1.2,     0.6550221, ,           1.2,     0.6550221, ,           1.2,     0.6550221, , 
          1.4,     0.6549686, ,           1.4,     0.6549686, ,           1.4,     0.6549686, ,           1.4,     0.6549686, ,           1.4,     0.6549686, , 
          1.6,      0.654912, ,           1.6,      0.654912, ,           1.6,      0.654912, ,           1.6,      0.654912, ,           1.6,      0.654912, , 
          1.8,     0.6548524, ,           1.8,     0.6548524, ,           1.8,     0.6548524, ,           1.8,     0.6548524, ,           1.8,     0.6548524, , 
            2,     0.6547902, ,             2,     0.6547902, ,             2,     0.6547902, ,             2,     0.6547902, ,             2,     0.6547902, , 
          2.2,     0.6547256, ,           2.2,     0.6547256, ,           2.2,     0.6547256, ,           2.2,     0.6547256, ,           2.2,     0.6547256, , 
          2.4,     0.6546587, ,           2.4,     0.6546587, ,           2.4,     0.6546587, ,           2.4,     0.6546587, ,           2.4,     0.6546587, , 
          2.6,     0.6545898, ,           2.6,     0.6545898, ,           2.6,     0.6545898, ,           2.6,     0.6545898, ,           2.6,     0.6545898, , 
          2.8,     0.6545189, ,           2.8,     0.6545189, ,           2.8,     0.6545189, ,           2.8,     0.6545189, ,           2.8,     0.6545189, , 
            3,     0.6544464, ,             3,     0.6544464, ,             3,     0.6544464, ,             3,     0.6544464, ,             3,     0.6544464, , 
          3.2,     0.6543724, ,           3.2,     0.6543724, ,           3.2,     0.6543724, ,           3.2,     0.6543724, ,           3.2,     0.6543724, , 
          3.4,      0.654297, ,           3.4,      0.654297, ,           3.4,      0.654297, ,           3.4,      0.654297, ,           3.4,      0.654297, , 
          3.6,     0.6542203, ,           3.6,     0.6542203, ,           3.6,     0.6542203, ,           3.6,     0.6542203, ,           3.6,     0.6542203, , 
          3.8,     0.6541426, ,           3.8,     0.6541426, ,           3.8,     0.6541426, ,           3.8,     0.6541426, ,           3.8,     0.6541426, , 
            4,     0.6540639, ,             4,     0.6540639, ,             4,     0.6540639, ,             4,     0.6540639, ,             4,     0.6540639, , 
          4.2,     0.6539843, ,           4.2,     0.6539843, ,           4.2,     0.6539843, ,           4.2,     0.6539843, ,           4.2,     0.6539843, , 
          4.4,     0.6539041, ,           4.4,     0.6539041, ,           4.4,     0.6539041, ,           4.4,     0.6539041, ,           4.4,     0.6539041, , 
          4.6,     0.6538232, ,           4.6,     0.6538232, ,           4.6,     0.6538232, ,           4.6,     0.6538232, ,           4.6,     0.6538232, , 
          4.8,     0.6537419, ,           4.8,     0.6537419, ,           4.8,     0.6537419, ,           4.8,     0.6537419, ,           4.8,     0.6537419, , 
            5,     0.6536602, ,             5,     0.6536602, ,             5,     0.6536602, ,             5,     0.6536602, ,             5,     0.6536602, , 
          5.2,     0.6535783, ,           5.2,     0.6535783, ,           5.2,     0.6535783, ,           5.2,     0.6535783, ,           5.2,     0.6535783, , 
          5.4,     0.6534961, ,           5.4,     0.6534961, ,           5.4,     0.6534961, ,           5.4,     0.6534961, ,           5.4,     0.6534961, , 
          5.6,     0.6534139, ,           5.6,     0.6534139, ,           5.6,     0.6534139, ,           5.6,     0.6534139, ,           5.6,     0.6534139, , 
          5.8,     0.6533317, ,           5.8,     0.6533317, ,           5.8,     0.6533317, ,           5.8,     0.6533317, ,           5.8,     0.6533317, , 
            6,     0.6532496, ,             6,     0.6532496, ,             6,     0.6532496, ,             6,     0.6532496, ,             6,     0.6532496, , 
          6.2,     0.6531677, ,           6.2,     0.6531677, ,           6.2,     0.6531677, ,           6.2,     0.6531677, ,           6.2,     0.6531677, , 
          6.4,     0.6530861, ,           6.4,     0.6530861, ,           6.4,     0.6530861, ,           6.4,     0.6530861, ,           6.4,     0.6530861, , 

